Date,Price,Open,High,Low,Vol.,Change %
9/30/2024,67.77,68.08,68.83,67.14,189.29K,0.15%
9/27/2024,67.67,66.95,68.13,66.58,169.90K,0.71%
9/26/2024,67.19,69.3,69.47,66.49,274.69K,-2.81%
9/25/2024,69.13,70.84,71.04,68.69,272.17K,-2.41%
9/24/2024,70.84,69.96,71.6,69.69,167.02K,1.77%
9/23/2024,69.61,70.43,70.94,68.73,185.35K,-1.96%
9/20/2024,71,71.18,71.45,70.37,307.00K,-0.22%
9/19/2024,71.16,69.15,71.53,69.13,354.93K,1.83%
9/18/2024,69.88,69.98,70.31,68.58,367.19K,-0.11%
9/17/2024,69.96,69.35,70.65,68.51,289.93K,1.36%
9/16/2024,69.02,68.22,69.61,67.7,235.88K,1.87%
9/13/2024,67.75,68.35,69.35,67.58,230.30K,-0.59%
9/12/2024,68.15,66.68,68.93,66.55,221.59K,2.33%
9/11/2024,66.6,65.73,67.14,64.99,237.20K,2.24%
9/10/2024,65.14,67.97,68.3,64.61,257.97K,-4.08%
9/9/2024,67.91,67.42,68.14,66.61,163.36K,1.39%
9/6/2024,66.98,68.66,69.41,66.51,165.62K,-2.22%
9/5/2024,68.5,68.52,70.01,68.13,210.22K,-0.03%
9/4/2024,68.52,69.54,70.61,68.16,235.03K,-1.54%
9/3/2024,69.59,72.64,73.35,69.37,231.78K,-5.68%
9/2/2024,73.78,73,74.39,72.89,,1.10%
9/1/2024,72.98,73.33,73.42,72.97,,0.45%
8/30/2024,72.65,74.69,75.31,72.46,210.33K,-2.71%
8/29/2024,74.67,73.31,75.51,72.92,224.37K,1.67%
8/28/2024,73.44,74.71,74.88,72.92,131.59K,-1.37%
8/27/2024,74.46,75.93,76.21,74.34,154.88K,-2.24%
8/26/2024,76.17,74.13,76.4,74.08,209.30K,3.03%
8/23/2024,73.93,72.21,74.17,72.12,131.32K,2.28%
8/22/2024,72.28,71.36,72.77,71,143.77K,1.37%
8/21/2024,71.3,72.42,73.39,70.88,178.98K,-2.56%
8/20/2024,73.17,73.74,74.38,72.54,329.28K,-0.67%
8/19/2024,73.66,75.47,75.73,73.45,422.10K,-2.49%
8/16/2024,75.54,76.81,76.98,74.52,317.68K,-1.88%
8/15/2024,76.99,76.07,77.38,75.7,237.54K,1.52%
8/14/2024,75.84,77.1,77.52,75.66,344.94K,-1.25%
8/13/2024,76.8,78.09,78.43,76.65,283.20K,-2.12%
8/12/2024,78.46,75.62,78.54,75.44,244.98K,3.77%
8/9/2024,75.61,74.86,75.79,74.7,143.83K,0.76%
8/8/2024,75.04,74.37,75.27,73.53,205.55K,1.17%
8/7/2024,74.17,72,74.73,71.75,215.90K,2.53%
8/6/2024,72.34,73.14,73.77,71.46,175.21K,0.19%
8/5/2024,72.2,73.26,73.53,70.88,228.05K,-0.54%
8/2/2024,72.59,75.89,76.3,72.12,216.86K,-3.73%
8/1/2024,75.4,77.47,77.72,75.32,182.47K,-1.87%
7/31/2024,76.84,74.37,77.54,74.27,239.72K,4.01%
7/30/2024,73.88,74.87,74.92,73.73,229.37K,-1.23%
7/29/2024,74.8,76.02,76.52,74.34,178.81K,-1.58%
7/26/2024,76,77.18,77.41,75.08,161.41K,-1.44%
7/25/2024,77.11,76.43,77.28,75.05,224.03K,0.69%
7/24/2024,76.58,76.35,77.08,75.93,184.20K,0.87%
7/23/2024,75.92,77.15,77.63,75.45,191.99K,-3.16%
7/22/2024,78.4,78.95,79.13,77.55,345.24K,-0.31%
7/19/2024,78.64,80.88,81.34,78.59,427.06K,-3.27%
7/18/2024,81.3,81.68,82.27,80.61,398.37K,-0.17%
7/17/2024,81.44,79.82,81.63,79.43,419.58K,2.17%
7/16/2024,79.71,80.85,80.87,79.22,272.20K,-1.40%
7/15/2024,80.84,80.96,81.35,80.36,216.42K,-0.22%
7/12/2024,81.02,81.55,82.29,80.91,276.67K,-0.44%
7/11/2024,81.38,81.35,81.83,80.6,205.10K,0.38%
7/10/2024,81.07,80.92,81.6,79.95,193.21K,0.63%
7/9/2024,80.56,81.45,81.65,80.42,166.79K,-1.18%
7/8/2024,81.52,82.36,82.5,81.29,143.02K,-0.90%
7/5/2024,82.26,82.75,83.58,82.19,168.80K,-2.00%
7/4/2024,83.94,83.61,84.2,83.03,,1.11%
7/3/2024,83.02,82.25,83.07,81.59,156.73K,1.36%
7/2/2024,81.91,82.39,83.22,81.83,225.17K,-0.50%
7/1/2024,82.32,80.56,82.58,80.49,214.49K,2.08%
6/28/2024,80.64,80.96,81.78,80.15,110.62K,-0.24%
6/27/2024,80.83,80.14,81.21,79.81,158.90K,0.80%
6/26/2024,80.19,79.97,80.85,79.5,147.98K,0.15%
6/25/2024,80.07,80.97,81.12,79.8,173.57K,-0.98%
6/24/2024,80.86,79.77,80.99,79.52,158.61K,1.13%
6/21/2024,79.96,80.44,80.94,79.59,163.22K,-1.64%
6/20/2024,81.29,80.75,81.52,80.3,420.50K,0.87%
6/19/2024,80.59,80.78,81.16,80.31,,-0.15%
6/18/2024,80.71,79.92,80.85,79.17,485.71K,1.24%
6/17/2024,79.72,78.12,80.01,77.58,402.74K,2.14%
6/14/2024,78.05,77.65,78.8,77.42,316.38K,-0.27%
6/13/2024,78.26,78.01,78.54,77.35,301.73K,0.14%
6/12/2024,78.15,77.8,78.94,77.56,209.18K,0.77%
6/11/2024,77.55,77.65,77.99,76.86,202.57K,0.28%
6/10/2024,77.33,74.97,77.85,74.94,181.84K,2.81%
6/7/2024,75.22,75.38,75.9,74.93,139.59K,-0.03%
6/6/2024,75.24,74.03,75.47,73.82,145.06K,1.92%
6/5/2024,73.82,72.72,74.07,72.69,159.60K,1.04%
6/4/2024,73.06,73.89,73.99,72.44,209.68K,-1.39%
6/3/2024,74.09,76.73,77.23,73.84,219.93K,-3.44%
5/31/2024,76.73,77.5,78.27,76.37,157.56K,-1.04%
5/30/2024,77.54,78.87,78.97,77.3,176.67K,-1.60%
5/29/2024,78.8,79.78,80.11,78.57,123.48K,-0.69%
5/28/2024,79.35,77.36,79.79,77.24,121.48K,0.89%
5/27/2024,78.65,77.84,78.8,77.75,,1.84%
5/24/2024,77.23,76.62,77.55,75.75,139.52K,1.01%
5/23/2024,76.46,76.9,78.21,76.03,125.72K,-0.89%
5/22/2024,77.15,77.9,78.03,76.85,139.45K,-1.92%
5/21/2024,78.66,79.23,79.3,77.65,371.67K,-0.81%
5/20/2024,79.3,79.58,80.11,78.67,342.09K,-0.35%
5/17/2024,79.58,78.92,79.66,78.58,321.03K,1.07%
5/16/2024,78.74,78.36,79.3,77.75,277.25K,0.74%
5/15/2024,78.16,78.03,78.43,76.36,299.56K,0.66%
5/14/2024,77.65,78.72,78.86,77.26,259.53K,-1.21%
5/13/2024,78.6,77.76,78.99,77.35,200.28K,0.98%
5/10/2024,77.84,79.11,79.47,77.73,164.35K,-1.22%
5/9/2024,78.8,78.79,79.32,78.46,184.46K,0.31%
5/8/2024,78.56,77.96,78.8,76.63,228.44K,0.64%
5/7/2024,78.06,78.39,78.8,77.29,192.57K,-0.10%
5/6/2024,78.14,77.88,78.68,77.56,152.59K,0.49%
5/3/2024,77.76,78.61,79.17,77.62,217.26K,-0.92%
5/2/2024,78.48,78.6,79.34,77.91,174.67K,0.05%
5/1/2024,78.44,80.86,80.9,78.28,235.28K,-3.49%
4/30/2024,81.28,82.16,82.65,80.34,233.66K,-0.91%
4/29/2024,82.03,82.99,83.19,81.81,170.81K,-1.32%
4/26/2024,83.13,82.97,83.63,82.59,98.78K,0.46%
4/25/2024,82.75,82.09,83,81.27,132.56K,0.80%
4/24/2024,82.09,82.6,82.9,81.71,142.45K,-0.57%
4/23/2024,82.56,81.43,82.62,80.25,172.23K,0.81%
4/22/2024,81.9,81.84,82.29,80.7,313.91K,-0.39%
4/19/2024,82.22,81.99,85.64,81.13,556.46K,0.15%
4/18/2024,82.1,82.28,82.84,81.06,366.75K,-0.06%
4/17/2024,82.15,84.82,84.97,82.01,387.63K,-3.16%
4/16/2024,84.83,85.16,85.6,84.22,217.44K,-0.04%
4/15/2024,84.86,84.99,85.5,83.49,253.34K,-0.26%
4/12/2024,85.08,85,86.97,84.67,245.33K,0.75%
4/11/2024,84.45,85.6,85.89,84.25,249.97K,-1.16%
4/10/2024,85.44,84.57,85.6,83.86,233.96K,1.16%
4/9/2024,84.46,85.69,86.07,84.29,198.56K,-1.25%
4/8/2024,85.53,85.19,86.21,83.93,207.99K,-0.66%
4/5/2024,86.1,85.98,86.83,85.62,211.84K,0.34%
4/4/2024,85.81,84.82,86.41,83.94,218.70K,1.42%
4/3/2024,84.61,84.54,85.27,83.99,190.90K,0.46%
4/2/2024,84.22,83.14,84.56,82.96,197.83K,1.69%
4/1/2024,82.82,82.36,83.46,81.84,199.89K,0.49%
3/28/2024,82.42,81.11,82.46,80.91,148.49K,2.03%
3/27/2024,80.78,80.71,81.12,79.99,109.07K,-0.32%
3/26/2024,81.04,81.44,81.77,80.63,118.75K,-0.42%
3/25/2024,81.38,80.4,81.84,80.13,153.14K,1.51%
3/22/2024,80.17,80.39,80.97,79.99,103.44K,-0.58%
3/21/2024,80.64,81,81.38,79.91,115.75K,-0.78%
3/20/2024,81.27,82.53,82.65,80.83,351.16K,-1.76%
3/19/2024,82.73,82.21,83.12,81.81,341.70K,0.69%
3/18/2024,82.16,80.58,82.5,80.56,323.92K,1.96%
3/15/2024,80.58,80.58,80.89,80.01,215.80K,-0.20%
3/14/2024,80.74,79.24,81.03,79.15,248.80K,1.82%
3/13/2024,79.3,77.72,79.46,77.31,209.24K,2.65%
3/12/2024,77.25,77.71,78.31,77.01,178.80K,-0.36%
3/11/2024,77.53,77.24,78.03,76.43,175.74K,0.04%
3/8/2024,77.5,78.77,79.29,77.05,175.73K,-1.05%
3/7/2024,78.32,78.41,78.89,77.47,215.58K,-0.11%
3/6/2024,78.41,77.44,79.69,77.25,200.04K,1.29%
3/5/2024,77.41,78.19,78.64,77.05,220.43K,-0.97%
3/4/2024,78.17,79.24,79.53,77.93,154.86K,-1.16%
3/1/2024,79.09,77.49,79.87,77.3,175.93K,2.12%
2/29/2024,77.45,77.5,78.35,77.2,154.80K,-0.49%
2/28/2024,77.83,77.88,78.83,77.17,142.99K,-0.51%
2/27/2024,78.23,77.11,78.33,76.67,98.88K,1.48%
2/26/2024,77.09,76.04,77.55,75.5,117.05K,1.33%
2/23/2024,76.08,77.71,77.74,75.89,134.05K,-2.37%
2/22/2024,77.93,77.46,78.17,76.62,145.39K,0.80%
2/21/2024,77.31,76.74,77.45,75.95,133.71K,0.35%
2/20/2024,77.04,78.34,78.56,76.8,435.24K,-1.37%
2/19/2024,78.11,78.16,78.56,77.64,,-0.45%
2/16/2024,78.46,77.63,78.52,76.69,451.36K,1.12%
2/15/2024,77.59,76.33,78.07,75.52,342.33K,1.61%
2/14/2024,76.36,77.48,78.43,76.12,276.33K,-1.55%
2/13/2024,77.56,76.9,78.1,76.77,253.50K,0.96%
2/12/2024,76.82,76.54,77,75.49,169.64K,0.07%
2/9/2024,76.77,76.32,77.17,75.88,172.00K,0.76%
2/8/2024,76.19,74.12,76.49,73.65,229.89K,3.08%
2/7/2024,73.91,73.53,74.25,73.29,133.42K,0.74%
2/6/2024,73.37,72.81,73.88,72.48,123.62K,0.71%
2/5/2024,72.85,72.7,73.3,71.49,151.30K,0.76%
2/2/2024,72.3,73.9,74.46,71.84,216.06K,-2.02%
2/1/2024,73.79,75.54,76.75,73.68,238.84K,-2.54%
1/31/2024,75.71,77.66,77.91,75.38,104.94K,-2.50%
1/30/2024,77.65,76.75,77.95,75.73,118.71K,1.28%
1/29/2024,76.67,78.72,79.09,76.3,103.54K,-1.53%
1/26/2024,77.86,77.1,78.09,75.92,135.88K,0.87%
1/25/2024,77.19,75.3,77.32,75.05,89.28K,2.95%
1/24/2024,74.98,74.47,75.7,73.85,100.36K,0.96%
1/23/2024,74.27,74.62,75.1,73.35,107.72K,-0.66%
1/22/2024,74.76,73.6,75.46,72.56,372.28K,2.06%
1/19/2024,73.25,73.92,74.63,72.99,360.03K,-0.95%
1/18/2024,73.95,72.73,74.19,72.1,396.28K,2.03%
1/17/2024,72.48,72.11,72.86,70.62,348.48K,-0.06%
1/16/2024,72.52,72.73,73.68,71.39,312.94K,-0.37%
1/15/2024,72.79,72.69,73.09,71.41,,0.00%
1/12/2024,72.79,73.16,75.28,72.48,244.20K,0.97%
1/11/2024,72.09,71.35,73.81,71.24,240.34K,0.91%
1/10/2024,71.44,72.2,73.55,71.09,198.04K,-1.18%
1/9/2024,72.29,70.92,72.99,70.63,204.37K,1.93%
1/8/2024,70.92,73.6,73.98,70.25,193.27K,-3.98%
1/5/2024,73.86,72.51,74.3,72.35,164.95K,2.07%
1/4/2024,72.36,73.2,74.12,71.24,144.60K,-0.73%
1/3/2024,72.89,70.77,73.36,69.56,129.06K,3.21%
1/2/2024,70.62,71.9,73.8,70.32,108.52K,-1.88%
1/1/2024,71.97,71.67,72.24,71.67,,0.18%
12/29/2023,71.84,72.15,72.8,71.47,63.48K,-0.18%
12/28/2023,71.97,74.04,74.62,71.92,94.29K,-3.19%
12/27/2023,74.34,75.57,75.81,74.01,80.38K,-1.81%
12/26/2023,75.71,73.74,76.31,73.32,56.76K,2.60%
12/25/2023,73.79,73.49,73.94,73.48,,0.08%
12/22/2023,73.73,74.07,75.11,73.55,76.79K,-0.45%
12/21/2023,74.06,73.99,74.78,72.65,81.11K,-0.52%
12/20/2023,74.45,74.31,75.56,73.87,98.97K,0.69%
12/19/2023,73.94,72.93,74.45,72.14,230.04K,1.54%
12/18/2023,72.82,72.05,74.61,70.99,354.89K,1.45%
12/15/2023,71.78,71.91,72.56,70.64,262.87K,-0.18%
12/14/2023,71.91,70.08,72.73,69.82,224.16K,3.14%
12/13/2023,69.72,68.99,70.15,67.98,185.24K,1.26%
12/12/2023,68.85,71.67,72.2,68.49,189.45K,-3.79%
12/11/2023,71.56,71.36,72.03,70.61,119.85K,0.17%
12/8/2023,71.44,70,71.81,69.75,124.73K,2.66%
12/7/2023,69.59,69.57,70.7,69.08,144.37K,-0.09%
12/6/2023,69.65,72.33,72.84,69.39,183.91K,-3.97%
12/5/2023,72.53,73.59,74.34,72.24,142.71K,-1.08%
12/4/2023,73.32,74.76,75.2,72.87,158.42K,-1.25%
12/1/2023,74.25,75.71,76.81,74.13,127.63K,-2.37%
11/30/2023,76.05,77.79,79.67,75.16,209.44K,-2.49%
11/29/2023,77.99,76.67,78.18,75.87,112.41K,1.83%
11/28/2023,76.59,75.32,77.13,74.88,121.44K,2.00%
11/27/2023,75.09,75.57,76.42,74.35,84.35K,-0.90%
11/24/2023,75.77,76.94,77.25,75.32,74.98K,-0.75%
11/23/2023,76.34,76.69,76.81,75.31,,-1.18%
11/22/2023,77.25,77.92,78.11,73.98,99.86K,-0.86%
11/21/2023,77.92,77.69,78.04,77.04,69.05K,0.12%
11/20/2023,77.83,75.8,78.46,75.41,270.64K,2.35%
11/17/2023,76.04,73.11,76.19,72.91,368.48K,4.04%
11/16/2023,73.09,76.71,76.8,72.37,428.82K,-4.82%
11/15/2023,76.79,78.1,78.69,76.45,253.17K,-1.77%
11/14/2023,78.17,78.48,79.65,77.73,166.18K,-0.03%
11/13/2023,78.19,77.18,78.54,76.19,157.42K,1.35%
11/10/2023,77.15,75.65,77.71,75.36,159.39K,1.85%
11/9/2023,75.75,75.63,77.12,75.18,172.86K,0.58%
11/8/2023,75.31,77.03,77.43,74.92,219.20K,-2.46%
11/7/2023,77.21,80.69,80.79,76.99,198.96K,-4.21%
11/6/2023,80.6,80.76,81.9,80.33,131.58K,0.46%
11/3/2023,80.23,82.25,83.2,79.84,213.05K,-2.35%
11/2/2023,82.16,80.44,82.44,80.01,158.21K,2.57%
11/1/2023,80.1,80.98,82.82,79.96,160.14K,-0.50%
10/31/2023,80.5,81.96,82.77,80.26,135.89K,-1.44%
10/30/2023,81.68,84.25,84.39,81.16,119.75K,-3.57%
10/27/2023,84.7,82.88,85,82.41,101.15K,2.62%
10/26/2023,82.54,84.58,84.85,81.97,107.55K,-2.54%
10/25/2023,84.69,82.99,84.85,81.44,141.32K,2.07%
10/24/2023,82.97,85.05,85.22,82.16,136.15K,-1.72%
10/23/2023,84.42,86.69,87,84.3,101.18K,-4.16%
10/20/2023,88.08,89.09,89.85,87.53,311.92K,-0.33%
10/19/2023,88.37,87.22,89.54,85.44,384.03K,1.26%
10/18/2023,87.27,86.41,88.57,86.25,384.53K,2.14%
10/17/2023,85.44,85.69,86.44,84.39,229.52K,0.21%
10/16/2023,85.26,86.37,86.94,85,205.58K,-1.26%
10/13/2023,86.35,82.27,86.51,82.17,290.38K,5.56%
10/12/2023,81.8,81.84,83.75,81.31,296.21K,-0.33%
10/11/2023,82.07,84.16,84.72,81.63,286.84K,-2.45%
10/10/2023,84.13,84.7,84.94,83.39,246.75K,-0.56%
10/9/2023,84.6,83.2,85.56,82.95,246.68K,4.08%
10/6/2023,81.28,81.05,81.69,80.2,277.71K,0.58%
10/5/2023,80.81,82.85,83.23,80.61,234.18K,-2.11%
10/4/2023,82.55,87.44,87.76,82.5,217.23K,-5.59%
10/3/2023,87.44,87.01,88.25,86.17,204.06K,0.31%
10/2/2023,87.17,88.83,89.89,86.83,161.57K,-1.84%
9/29/2023,88.8,89.7,90.96,88.45,156.93K,-0.88%
9/28/2023,89.59,91.44,92.48,89.31,226.83K,-1.87%
9/27/2023,91.3,88.92,91.73,88.8,293.27K,2.84%
9/26/2023,88.78,88.3,89.09,86.74,137.24K,0.69%
9/25/2023,88.17,88.83,89.07,87.52,161.52K,-0.20%
9/22/2023,88.35,88.27,89.65,87.82,253.89K,0.03%
9/21/2023,88.32,88.07,89.5,87.15,162.03K,-1.49%
9/20/2023,89.66,90.63,91.07,88.97,457.85K,-0.91%
9/19/2023,90.48,90.97,92.43,90.31,537.52K,-0.11%
9/18/2023,90.58,90.41,91.36,89.91,414.19K,0.62%
9/15/2023,90.02,90.07,90.56,88.65,321.84K,0.46%
9/14/2023,89.61,88.19,90.2,88.04,257.68K,1.97%
9/13/2023,87.88,88.07,88.92,87.66,250.86K,-0.32%
9/12/2023,88.16,86.62,88.62,86.58,217.68K,1.73%
9/11/2023,86.66,86.74,87.49,86.12,179.00K,-0.17%
9/8/2023,86.81,86.01,87.2,85.49,125.62K,0.77%
9/7/2023,86.15,86.8,86.99,85.68,111.07K,-0.74%
9/6/2023,86.79,86.02,87.27,85.31,135.35K,0.91%
9/5/2023,86.01,85.19,87.25,84.29,154.05K,0.22%
9/4/2023,85.82,85.85,86.14,85.28,,-0.03%
9/3/2023,85.85,86.06,86.06,85.73,,1.30%
9/1/2023,84.75,82.9,85.19,82.78,169.83K,2.16%
8/31/2023,82.96,81.14,83.02,81,150.23K,2.27%
8/30/2023,81.12,80.78,81.54,80.43,80.26K,0.55%
8/29/2023,80.68,79.55,80.91,78.94,88.15K,1.27%
8/28/2023,79.67,79.69,80.44,79.25,71.33K,0.23%
8/25/2023,79.49,78.49,79.98,77.82,165.22K,1.06%
8/24/2023,78.66,78.3,78.95,77.32,149.90K,0.09%
8/23/2023,78.59,79.35,79.6,77.34,127.19K,-1.32%
8/22/2023,79.64,80.25,80.37,79.46,287.49K,-0.60%
8/21/2023,80.12,80.76,81.75,79.97,361.84K,-0.67%
8/18/2023,80.66,79.58,80.97,79.02,377.45K,0.95%
8/17/2023,79.9,78.91,80.61,78.6,239.17K,1.11%
8/16/2023,79.02,80.74,80.97,78.68,237.71K,-1.84%
8/15/2023,80.5,81.98,82.33,79.95,198.94K,-1.73%
8/14/2023,81.92,82.46,82.51,81.19,126.69K,-0.79%
8/11/2023,82.57,82.33,83.16,81.75,174.30K,0.34%
8/10/2023,82.29,83.51,84.16,82.04,166.86K,-1.67%
8/9/2023,83.69,82.34,83.91,82.11,279.75K,1.61%
8/8/2023,82.36,82.04,82.52,79.52,187.84K,1.07%
8/7/2023,81.49,82.27,82.73,81.08,123.01K,-0.95%
8/4/2023,82.27,81.22,82.66,81.04,108.12K,1.47%
8/3/2023,81.08,79.4,81.4,78.33,150.29K,2.46%
8/2/2023,79.13,81.54,81.95,78.68,135.80K,-2.21%
8/1/2023,80.92,81.25,81.74,80.17,105.36K,-0.49%
7/31/2023,81.32,80.23,81.5,79.72,92.51K,1.42%
7/28/2023,80.18,79.33,80.29,78.67,101.33K,0.69%
7/27/2023,79.63,78.49,80.08,78.47,138.78K,1.57%
7/26/2023,78.4,78.88,79.31,78.17,112.97K,-1.01%
7/25/2023,79.2,78.47,79.46,77.93,122.79K,1.02%
7/24/2023,78.4,76.62,78.89,76.16,109.57K,2.11%
7/21/2023,76.78,75.45,76.98,75.45,106.73K,1.49%
7/20/2023,75.65,75.33,76.15,74.52,340.96K,0.48%
7/19/2023,75.29,75.75,76.87,75.02,385.60K,-0.49%
7/18/2023,75.66,74.08,75.9,73.82,388.37K,2.13%
7/17/2023,74.08,74.88,76,73.78,248.26K,-1.65%
7/14/2023,75.32,77.02,77.11,75.06,204.78K,-1.88%
7/13/2023,76.76,75.64,77.15,75.23,297.92K,1.62%
7/12/2023,75.54,74.7,75.94,74.53,251.40K,1.11%
7/11/2023,74.71,73.13,74.82,72.94,193.29K,2.41%
7/10/2023,72.95,73.76,74.06,72.63,143.74K,-1.11%
7/7/2023,73.77,71.85,73.82,71.22,178.32K,2.76%
7/6/2023,71.79,71.85,72.37,70.28,217.75K,-0.13%
7/5/2023,71.88,70.25,72.25,70.03,214.79K,1.15%
7/4/2023,71.06,70.08,71.34,69.91,,1.64%
7/3/2023,69.91,70.61,71.88,69.82,107.16K,-1.23%
6/30/2023,70.78,69.95,71.17,69.69,136.64K,1.09%
6/29/2023,70.02,69.37,70.73,69.11,106.17K,0.42%
6/28/2023,69.73,68.2,69.9,67.27,159.54K,2.70%
6/27/2023,67.9,69.63,70.29,67.71,170.46K,-2.36%
6/26/2023,69.54,69.93,70.24,68.88,94.21K,0.32%
6/23/2023,69.32,69.66,69.77,67.52,113.92K,-0.45%
6/22/2023,69.63,72.4,72.62,69.07,234.79K,-3.99%
6/21/2023,72.52,70.86,72.69,70.8,97.51K,1.87%
6/20/2023,71.19,71.69,72.38,69.76,430.49K,-0.17%
6/19/2023,71.31,71.47,72.25,70.83,,-0.22%
6/18/2023,71.47,71.59,71.67,71.42,,-0.64%
6/16/2023,71.93,70.81,72.03,70.18,297.84K,1.58%
6/15/2023,70.81,68.92,71.15,68.14,262.83K,3.43%
6/14/2023,68.46,69.51,70.64,68.26,212.22K,-1.61%
6/13/2023,69.58,67.45,69.97,67.31,253.16K,3.40%
6/12/2023,67.29,70.42,70.49,66.96,223.62K,-4.32%
6/9/2023,70.33,71.11,71.93,70.26,160.29K,-1.55%
6/8/2023,71.44,72.57,73.37,69.21,236.21K,-1.65%
6/7/2023,72.64,71.7,73.29,71.14,109.56K,1.10%
6/6/2023,71.85,72.09,72.42,70.29,118.29K,-0.57%
6/5/2023,72.26,75.1,75.7,71.85,148.98K,0.58%
6/2/2023,71.84,70.25,72.24,70.1,110.94K,2.34%
6/1/2023,70.2,67.81,71.14,67.67,135.27K,2.87%
5/31/2023,68.24,69.67,69.81,67.21,157.34K,-1.95%
5/30/2023,69.6,73.22,73.62,69.16,117.50K,-4.49%
5/29/2023,72.87,73.22,73.55,72.05,,-0.48%
5/28/2023,73.22,73.11,73.45,73.06,,0.63%
5/26/2023,72.76,71.99,73.12,71.59,77.58K,1.15%
5/25/2023,71.93,74.18,74.34,71.03,154.73K,-3.18%
5/24/2023,74.29,73.68,74.65,73.09,121.83K,1.98%
5/23/2023,72.85,72,73.72,71.63,92.34K,1.11%
5/22/2023,72.05,71.87,72.53,70.67,263.98K,0.50%
5/19/2023,71.69,72.06,73.58,71.18,312.43K,-0.35%
5/18/2023,71.94,72.82,72.97,71.52,239.92K,-1.30%
5/17/2023,72.89,70.6,73.3,70.05,219.09K,2.89%
5/16/2023,70.84,71.28,71.76,70.44,153.07K,-0.35%
5/15/2023,71.09,70.02,71.67,69.39,159.52K,1.53%
